[2018-10-24 14:43:33,447792] admin.INFO  [5caf351b] [8d98389d] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_order"]  [GET, /html/admin/order, 10.240.1.50, http://ec-cute-kaku87.c9users.io/html/admin/customer, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:36,465589] admin.INFO  [NULL] [e7e6fa00] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/product, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/order, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:36,492831] admin.INFO  [5caf351b] [e7e6fa00] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_product"]  [GET, /html/admin/product, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/order, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:36,532615] admin.INFO  [5caf351b] [e7e6fa00] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_product"]  [GET, /html/admin/product, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/order, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:36,722282] admin.INFO  [5caf351b] [e7e6fa00] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_product"]  [GET, /html/admin/product, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/order, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:36,725270] admin.INFO  [5caf351b] [e7e6fa00] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_product"]  [GET, /html/admin/product, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/order, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:39,450313] admin.INFO  [NULL] [d4dff3a5] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/product/product/new, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/product, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:39,477849] admin.INFO  [5caf351b] [d4dff3a5] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_product_product_new"]  [GET, /html/admin/product/product/new, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/product, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:39,512770] admin.INFO  [5caf351b] [d4dff3a5] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_product_product_new"]  [GET, /html/admin/product/product/new, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/product, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
[2018-10-24 14:43:39,832714] admin.INFO  [5caf351b] [d4dff3a5] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_product_product_new"]  [GET, /html/admin/product/product/new, 10.240.1.65, http://ec-cute-kaku87.c9users.io/html/admin/product, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.67 Safari/537.36]
